Num_obs,rms,Arc_length,likely_or_possible_mislinkage,Principal_desig,assumed good instead of human labeled?
18,0.17,21,0,2017 DF177,
16,0.69,3,0,2014 HT409,
11,1.18,33,1,2017 SM389,
11,0.83,29,1,2012 FK119,
11,0.2,60,0,2015 UQ46,
19,0.76,20,0,2025 QT39,
15,0.58,32,0,2025 WX34,
12,0.86,28,0,2025 WW37,
12,0.94,36,0,2025 XD19,
11,0.4,21,0,2025 YZ8,
12,0.34,21,0,2025 YS11,
12,0.45,20,0,2025 YP13,
9,0.63,20,0,2025 YY14,
16,0.63,21,0,2025 YL15,
8,0.56,32,0,2025 VF11,
12,0.67,30,0,2025 VK16,
12,0.61,29,1,2025 VH17,
11,0.59,27,0,2025 VJ20,
12,0.64,30,0,2025 VE22,
10,0.29,30,0,2025 VO27,
10,0.36,26,0,2025 WT17,
11,1.04,23,1,2025 WE38,
6,0.4,3,0,2025 UY137,
6,0.38,3,0,2025 UR140,
7,0.41,3,0,2025 UY140,
7,0.37,3,0,2025 UA144,
7,0.38,1,0,2025 VL22,
9,0.38,24,0,2025 UL114,
10,0.39,24,0,2025 UW121,
10,0.75,25,0,2025 UY122,
11,0.62,24,0,2025 UL123,
9,0.76,25,0,2025 UM125,
12,0.35,28,0,2025 UW125,
9,0.43,28,0,2025 UG126,
12,0.45,38,0,2025 TP62,
12,0.45,39,0,2025 UO66,
11,0.44,37,0,2025 UB93,
15,0.87,39,0,2025 UN130,
13,0.87,39,0,2025 VH19,
11,0.99,33,0,2025 QJ72,
15,0.61,33,0,2025 QH75,
10,0.93,27,0,2025 RJ22,
10,0.98,24,0,2025 RG33,
11,0.96,28,0,2025 RX51,
15,0.63,33,0,2025 SO119,
10,0.24,18,0,2025 TF12,
14,0.61,37,0,2025 XF20,
11,1.18,22,1,2025 EN11,
9,0.9,35,0,2025 KF21,
9,0.83,20,0,2025 OM43,
11,1.18,27,1,2025 OU44,
13,1.21,24,0,2025 PZ4,
12,1.17,25,0,2025 QC47,
11,1.02,25,0,2025 QH60,
13,1.21,26,0,2025 QV65,
13,1.22,27,0,2025 RM26,
10,0.47,28,0,2025 SY130,
11,1.2,26,1,2025 TL62,
8,0.3,31,0,2025 UH104,
11,0.49,29,0,2025 UH129,
11,1.08,22,1,2024 WF98,
9,0.87,34,1,2024 WN98,
11,0.88,22,1,2024 XC30,
11,0.94,23,1,2024 XB46,
11,1.35,27,0,2024 YX27,
9,0.87,25,0,2024 YF48,
9,0.87,29,1,2024 YB51,
10,1.1,28,1,2024 YV51,
10,0.1,19,0,2015 AP305,
7,0.86,24,1,2022 QQ276,
19,0.76,36,0,2021 OM,
10,0.75,40,1,2017 RW159,
8,0.46,17,0,2019 RN95,
11,0.11,29,1,2015 KD81,
12,0.83,31,0,2024 RF149,
11,0.51,20,0,2019 HH15,
16,0.62,24,0,2022 PJ7,
10,1.05,33,1,2021 GB204,
19,0.31,32,1,2017 ES60,
12,0.89,23,1,2015 DY358,
8,0.62,35,1,2019 UJ147,
16,0.84,32,0,2022 QP176,
9,0.69,35,1,2020 PH105,
11,0.59,29,1,2011 HP40,
10,0.29,24,0,2016 LD103,
12,0.87,28,0,2022 QP73,
11,0.4,28,0,2015 DP359,
13,0.5,3,0,2013 TF279,
13,0.35,109,0,2013 PG127,
8,0.97,31,1,2017 AN65,
10,1.1,28,0,2025 RK25,
15,0.94,48,0,2025 RT38,
10,0.77,48,0,2025 RN50,
19,0.57,36,0,2025 SW113,
11,0.63,29,0,2025 SH126,
11,0.6,36,0,2025 SQ132,
9,0.62,29,0,2025 SZ132,
11,0.21,28,0,2025 TH59,
9,0.61,49,0,2025 TQ67,
12,0.91,22,0,2025 XL17,
11,0.91,55,0,2024 YG58,
10,0.3,29,1,2023 QF118,
17,0.63,29,0,2015 GX87,
8,0.78,32,1,2022 SG323,
13,0.79,35,1,2025 XL21,
11,0.37,89,0,2015 DG356,
14,0.83,24,0,2017 OH164,
11,0.93,24,1,2019 RN115,
12,0.85,26,0,2023 QN112,
11,0.35,18,1,2023 SN80,
16,0.37,5,0,2015 KF391,
